model,seed,rounds_survived,stability,balance,death_cause
Heuristic,0,30,1.0,10.606060606060606,survived
Heuristic,1,30,1.0,10.606060606060606,survived
Heuristic,2,30,1.0,10.606060606060606,survived
Heuristic,3,30,1.0,10.606060606060606,survived
Heuristic,4,30,1.0,10.606060606060606,survived
Heuristic,5,30,1.0,10.606060606060606,survived
Heuristic,6,30,1.0,10.606060606060606,survived
Heuristic,7,30,1.0,10.606060606060606,survived
Heuristic,8,30,1.0,10.606060606060606,survived
Heuristic,9,30,1.0,10.606060606060606,survived
Heuristic,10,30,1.0,10.606060606060606,survived
Heuristic,11,30,1.0,10.606060606060606,survived
Heuristic,12,30,1.0,10.606060606060606,survived
Heuristic,13,30,1.0,10.606060606060606,survived
Heuristic,14,30,1.0,10.606060606060606,survived
Heuristic,15,30,1.0,10.606060606060606,survived
Heuristic,16,30,1.0,10.606060606060606,survived
Heuristic,17,30,1.0,10.606060606060606,survived
Heuristic,18,30,1.0,10.606060606060606,survived
Heuristic,19,30,1.0,10.606060606060606,survived
Heuristic,20,30,1.0,10.606060606060606,survived
Heuristic,21,30,1.0,10.606060606060606,survived
Heuristic,22,30,1.0,10.606060606060606,survived
Heuristic,23,30,1.0,10.606060606060606,survived
Heuristic,24,30,1.0,10.606060606060606,survived
Heuristic,25,30,1.0,10.606060606060606,survived
Heuristic,26,30,1.0,10.606060606060606,survived
Heuristic,27,30,1.0,10.606060606060606,survived
Heuristic,28,30,1.0,10.606060606060606,survived
Heuristic,29,30,1.0,10.606060606060606,survived
