model,seed,rounds_survived,stability,balance,death_cause
Paper,0,2,-3.0,0.0,politics_collapse
Paper,1,2,-3.0,0.0,politics_collapse
Paper,2,2,-3.0,0.0,politics_collapse
Paper,3,2,-3.0,0.0,politics_collapse
Paper,4,2,-3.0,0.0,politics_collapse
Paper,5,2,-3.0,0.0,politics_collapse
Paper,6,2,-3.0,0.0,politics_collapse
Paper,7,2,-3.0,0.0,politics_collapse
Paper,8,2,-3.0,0.0,politics_collapse
Paper,9,2,-3.0,0.0,politics_collapse
Sovereign,0,9,-8.0,0.0,quality_of_life_collapse
Sovereign,1,7,-7.0,0.0,quality_of_life_collapse
Sovereign,2,5,-3.0,0.0,env_collapse
Sovereign,3,8,-7.0,0.0,env_collapse
Sovereign,4,8,-6.0,0.0,reprorate_collapse
Sovereign,5,8,-11.0,0.0,politics_collapse
Sovereign,6,9,-8.0,0.0,env_collapse
Sovereign,7,9,-8.0,0.0,env_collapse
Sovereign,8,8,-9.0,0.0,env_collapse
Sovereign,9,8,-6.0,0.0,quality_of_life_collapse
